variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
EW033_RS07640	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07645	5.00E-01	1.75E-03	1.75E-03	9.36E-01	2.84E-01	-8.00E-01		
EW033_RS07660	1.96E-01	4.40E-01	4.61E-01	2.90E-01	3.90E-01	-3.89E-01		
EW033_RS07665	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS07670	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS07675	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS07680	4.46E-01	5.08E-02	5.27E-02	5.99E-01	3.02E-01	-5.99E-01		
EW033_RS07685	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS07690	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS07695	3.04E-01	2.07E-01	2.45E-01	3.93E-01	3.34E-01	-4.51E-01		
EW033_RS07700	2.14E-01	1.81E-01	1.23E-01	5.82E-01	3.71E-01	-4.57E-01		
EW033_RS07705	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS07715	5.00E-01	1.42E-02	1.42E-02	7.46E-01	2.94E-01	-7.05E-01		
EW033_RS07720	9.64E-01	8.18E-01	7.26E-01	2.95E-01	8.38E-01	-6.16E-01		
EW033_RS07725	4.82E-01	3.36E-03	3.35E-03	8.83E-01	2.88E-01	-7.58E-01		
EW033_RS07730	4.11E-01	2.96E-03	3.02E-03	9.06E-01	2.92E-01	-7.04E-01		
EW033_RS07735	4.82E-01	3.36E-03	3.35E-03	8.83E-01	2.88E-01	-7.58E-01		
EW033_RS07740	4.82E-01	3.36E-03	3.35E-03	8.83E-01	2.88E-01	-7.58E-01		
EW033_RS07745	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS07750	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS07755	5.00E-01	1.75E-03	1.75E-03	9.36E-01	2.84E-01	-8.00E-01		
EW033_RS07760	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS07790	7.14E-02	1.39E-01	2.47E-01	6.99E-01	5.97E-01	-3.82E-01		
EW033_RS07795	3.75E-01	2.51E-02	2.43E-02	7.11E-01	3.07E-01	-5.99E-01		
EW033_RS07805	6.61E-01	4.80E-01	4.84E-01	2.31E-01	3.27E-01	-4.84E-01		
EW033_RS07810	4.82E-01	3.36E-03	3.35E-03	8.83E-01	2.88E-01	-7.58E-01		
EW033_RS07825	2.86E-01	2.98E-02	3.21E-02	7.27E-01	3.30E-01	-5.40E-01		
EW033_RS07830	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07835	7.14E-01	7.93E-02	9.85E-02	5.65E-01	3.36E-01	-7.35E-01		
EW033_RS07840	2.86E-01	8.62E-01	8.71E-01	5.63E-02	3.45E-01	-3.48E-01		
EW033_RS07845	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS07850	4.64E-01	6.04E-02	6.13E-02	5.78E-01	3.02E-01	-6.00E-01		
EW033_RS07855	8.93E-02	4.97E-01	4.31E-01	4.31E-01	5.43E-01	-3.70E-01		
EW033_RS07865	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07870	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS07875	2.86E-01	4.36E-01	4.25E-01	2.75E-01	3.43E-01	-4.11E-01		
EW033_RS07880	5.36E-01	2.33E-02	2.32E-02	6.95E-01	2.98E-01	-7.04E-01		
EW033_RS07890	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS07895	3.57E-01	9.28E-02	1.05E-01	5.23E-01	3.17E-01	-5.19E-01		
EW033_RS07900	4.82E-01	3.25E-02	3.28E-02	6.54E-01	2.99E-01	-6.47E-01		
EW033_RS07905	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS07910	6.07E-01	6.27E-01	6.40E-01	1.50E-01	3.18E-01	-4.23E-01		
EW033_RS07915	4.11E-01	1.44E-01	1.36E-01	4.69E-01	3.10E-01	-5.24E-01		
EW033_RS07920	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS07925	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07930	3.21E-01	1.37E-01	1.70E-01	4.56E-01	3.28E-01	-4.78E-01		
EW033_RS07935	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS07940	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS07950	3.57E-01	1.46E-01	1.67E-01	4.47E-01	3.19E-01	-4.92E-01		
EW033_RS07955	9.29E-01	4.26E-01	5.28E-01	3.83E-01	6.02E-01	-6.88E-01		
EW033_RS07960	4.29E-01	9.04E-03	8.89E-03	8.01E-01	2.95E-01	-6.75E-01		
EW033_RS07965	1.79E-01	2.48E-01	1.94E-01	5.27E-01	4.00E-01	-4.26E-01		
EW033_RS07970	3.21E-01	9.00E-03	7.11E-03	8.72E-01	3.12E-01	-6.12E-01		
EW033_RS07975	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS07980	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS07985	5.18E-01	1.53E-02	1.53E-02	7.39E-01	2.95E-01	-7.14E-01		
EW033_RS07990	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS07995	3.57E-01	3.18E-02	2.59E-02	7.11E-01	3.10E-01	-5.86E-01		
EW033_RS08000	1.79E-01	2.09E-01	2.00E-01	5.19E-01	4.00E-01	-4.25E-01		
EW033_RS08010	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS08015	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08020	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08035	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS08040	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08045	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08050	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS08055	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS08060	5.71E-01	7.49E-01	7.51E-01	-1.00E-01	3.14E-01	-2.75E-01		
EW033_RS08065	7.14E-01	1.30E-01	1.42E-01	5.04E-01	3.38E-01	-6.92E-01		
EW033_RS08070	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS08075	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08080	4.64E-01	2.40E-02	2.33E-02	6.95E-01	2.98E-01	-6.55E-01		
EW033_RS08085	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS08090	1.07E-01	4.55E-01	2.97E-01	5.25E-01	4.98E-01	-3.88E-01		
EW033_RS08095	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08100	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08105	1.96E-01	1.53E-01	2.02E-01	4.99E-01	3.86E-01	-4.30E-01		
EW033_RS08110	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS08115	5.18E-01	6.57E-03	6.56E-03	8.23E-01	2.91E-01	-7.58E-01		
EW033_RS08120	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS08130	1.43E-01	6.02E-01	5.89E-01	2.41E-01	4.44E-01	-3.66E-01		
EW033_RS08135	6.79E-01	3.31E-01	3.45E-01	3.15E-01	3.31E-01	-5.46E-01		
EW033_RS08140	2.86E-01	4.36E-01	4.25E-01	2.75E-01	3.43E-01	-4.11E-01		
EW033_RS08145	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08160	5.36E-01	1.37E-01	1.45E-01	4.53E-01	3.06E-01	-5.75E-01		
EW033_RS08165	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS08170	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS08175	1.25E-01	2.42E-01	3.16E-01	4.72E-01	4.67E-01	-3.91E-01		
EW033_RS08185	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS08190	6.43E-01	3.59E-01	3.66E-01	2.94E-01	3.23E-01	-5.21E-01		
EW033_RS08195	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08200	2.86E-01	2.71E-01	2.78E-01	3.73E-01	3.41E-01	-4.39E-01		
EW033_RS08205	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08210	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08215	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS08220	3.21E-01	2.52E-01	2.51E-01	3.82E-01	3.29E-01	-4.55E-01		
EW033_RS08225	1.43E-01	2.03E-01	2.23E-01	5.41E-01	4.39E-01	-4.09E-01		
EW033_RS08230	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS08240	1.61E-01	4.88E-01	4.03E-01	3.55E-01	4.21E-01	-3.89E-01		
EW033_RS08265	3.04E-01	2.77E-02	2.45E-02	7.48E-01	3.23E-01	-5.59E-01		
EW033_RS08270	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS08275	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS08280	1.07E-01	5.58E-01	5.58E-01	2.96E-01	5.02E-01	-3.64E-01		
EW033_RS08285	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08290	2.86E-01	2.98E-02	3.21E-02	7.27E-01	3.30E-01	-5.40E-01		
EW033_RS08295	5.00E-01	9.64E-01	9.64E-01	1.42E-02	3.11E-01	-3.39E-01		
EW033_RS08300	1.43E-01	5.95E-01	6.19E-01	2.22E-01	4.44E-01	-3.64E-01		
EW033_RS08305	3.57E-02	7.90E-01	7.87E-01	-2.28E-01	8.39E-01	-3.24E-01		
EW033_RS08310	2.86E-01	2.19E-02	3.35E-02	7.21E-01	3.30E-01	-5.38E-01		
EW033_RS08315	5.89E-01	6.69E-02	6.87E-02	5.70E-01	3.07E-01	-6.68E-01		
EW033_RS08320	4.29E-01	4.83E-02	4.91E-02	6.11E-01	3.04E-01	-5.94E-01		
EW033_RS08325	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08330	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08335	4.64E-01	2.61E-02	2.54E-02	6.85E-01	2.98E-01	-6.50E-01		
EW033_RS08340	1.07E-01	5.58E-01	5.58E-01	2.96E-01	5.02E-01	-3.64E-01		
EW033_RS08345	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08350	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08355	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08360	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08365	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08375	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08380	5.36E-02	3.99E-01	5.33E-01	4.32E-01	6.89E-01	-3.55E-01		
EW033_RS08385	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS08390	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS08395	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS08400	5.71E-01	3.80E-01	3.82E-01	2.76E-01	3.12E-01	-4.89E-01		
EW033_RS08405	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08410	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08415	3.93E-01	4.19E-02	4.98E-02	6.17E-01	3.08E-01	-5.74E-01		
EW033_RS08420	1.07E-01	8.54E-01	8.16E-01	1.18E-01	5.03E-01	-3.44E-01		
EW033_RS08425	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08430	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS08435	1.79E-01	2.48E-01	1.94E-01	5.27E-01	4.00E-01	-4.26E-01		
EW033_RS08440	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS08450	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08455	3.04E-01	3.22E-01	3.30E-01	3.30E-01	3.36E-01	-4.32E-01		
EW033_RS08460	3.57E-02	2.83E-01	3.95E-01	7.15E-01	8.34E-01	-3.57E-01		
EW033_RS08465	5.71E-01	4.94E-01	5.06E-01	2.10E-01	3.13E-01	-4.52E-01		
EW033_RS08475	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS08480	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08485	1.25E-01	3.68E-01	3.91E-01	4.04E-01	4.68E-01	-3.82E-01		
EW033_RS08490	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS08495	6.43E-01	3.82E-01	3.75E-01	2.89E-01	3.23E-01	-5.18E-01		
EW033_RS08500	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08505	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08510	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS08515	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08520	4.64E-01	8.30E-01	8.26E-01	6.88E-02	3.12E-01	-3.64E-01		
EW033_RS08525	2.86E-01	5.18E-01	5.43E-01	2.11E-01	3.44E-01	-3.92E-01		
EW033_RS08530	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS08535	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08540	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08545	2.50E-01	6.55E-01	6.62E-01	1.58E-01	3.59E-01	-3.71E-01		
EW033_RS08555	3.57E-01	1.01E-01	9.06E-02	5.45E-01	3.16E-01	-5.27E-01		
EW033_RS08560	2.32E-01	4.00E-01	3.57E-01	-3.40E-01	3.66E-01	-2.53E-01		
EW033_RS08565	5.18E-01	7.50E-01	7.49E-01	-1.00E-01	3.11E-01	-2.80E-01		
EW033_RS08570	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08580	4.64E-01	1.06E-01	1.06E-01	5.01E-01	3.05E-01	-5.64E-01		
EW033_RS08585	3.57E-02	2.83E-01	3.95E-01	7.15E-01	8.34E-01	-3.57E-01		
EW033_RS08590	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS08595	1.79E-01	2.09E-01	2.00E-01	5.19E-01	4.00E-01	-4.25E-01		
EW033_RS08605	2.14E-01	4.61E-02	5.71E-02	7.13E-01	3.67E-01	-4.85E-01		
EW033_RS08610	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08615	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08620	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08630	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS08635	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08640	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08645	1.25E-01	9.44E-01	9.41E-01	-3.53E-02	4.71E-01	-3.27E-01		
EW033_RS08650	5.18E-01	4.03E-03	4.06E-03	8.66E-01	2.89E-01	-7.80E-01		
EW033_RS08655	7.14E-02	4.38E-01	2.21E-01	7.38E-01	5.96E-01	-3.85E-01		
EW033_RS08660	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS08670	3.57E-01	1.54E-01	1.76E-01	4.38E-01	3.19E-01	-4.88E-01		
EW033_RS08675	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08680	3.57E-01	1.18E-01	1.19E-01	5.03E-01	3.18E-01	-5.11E-01		
EW033_RS08685	2.50E-01	4.88E-03	3.73E-03	1.01E+00	3.32E-01	-5.84E-01		
EW033_RS08690	3.57E-02	2.16E-01	3.49E-01	7.86E-01	8.32E-01	-3.60E-01		
EW033_RS08700	1.07E-01	8.89E-02	1.33E-01	7.52E-01	4.93E-01	-4.13E-01		
EW033_RS08705	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08710	2.86E-01	2.19E-02	3.35E-02	7.21E-01	3.30E-01	-5.38E-01		
EW033_RS08715	4.46E-01	5.86E-01	5.83E-01	-1.72E-01	3.12E-01	-2.55E-01		
EW033_RS08720	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08725	2.50E-01	8.54E-02	6.05E-02	6.67E-01	3.48E-01	-4.99E-01		
EW033_RS08730	4.64E-01	9.42E-03	9.48E-03	7.89E-01	2.93E-01	-6.98E-01		
EW033_RS08735	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08745	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08750	3.57E-02	6.82E-02	1.60E-01	1.17E+00	8.24E-01	-3.74E-01		
EW033_RS08755	3.21E-01	7.75E-02	6.58E-02	6.07E-01	3.23E-01	-5.27E-01		
EW033_RS08760	4.29E-01	8.57E-02	8.29E-02	5.41E-01	3.06E-01	-5.64E-01		
EW033_RS08770	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS08775	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS08780	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08785	3.21E-01	2.39E-01	2.58E-01	3.77E-01	3.29E-01	-4.53E-01		
EW033_RS08790	4.29E-01	8.04E-02	6.86E-02	5.67E-01	3.05E-01	-5.75E-01		
EW033_RS08795	1.43E-01	4.57E-01	3.57E-01	4.10E-01	4.42E-01	-3.90E-01		
EW033_RS08800	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS08805	3.57E-01	2.53E-01	2.63E-01	3.63E-01	3.21E-01	-4.62E-01		
EW033_RS08810	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08815	7.86E-01	1.16E-01	1.48E-01	5.47E-01	3.72E-01	-7.61E-01		
EW033_RS08820	8.93E-02	2.20E-01	1.79E-01	7.31E-01	5.37E-01	-3.97E-01		
EW033_RS08825	3.04E-01	2.08E-01	2.47E-01	3.91E-01	3.34E-01	-4.51E-01		
EW033_RS08835	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08860	2.86E-01	5.95E-01	6.14E-01	1.74E-01	3.44E-01	-3.82E-01		
EW033_RS08865	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08870	3.57E-01	2.61E-01	2.57E-01	3.68E-01	3.21E-01	-4.63E-01		
EW033_RS08875	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08880	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08885	3.93E-01	9.91E-02	9.75E-02	5.24E-01	3.11E-01	-5.38E-01		
EW033_RS08900	1.07E-01	1.99E-01	1.12E-01	7.95E-01	4.92E-01	-4.17E-01		
EW033_RS08905	7.14E-02	3.45E-01	2.32E-01	7.21E-01	5.97E-01	-3.83E-01		
EW033_RS08910	1.43E-01	9.97E-02	1.36E-01	6.60E-01	4.36E-01	-4.26E-01		
EW033_RS08915	3.57E-02	6.82E-02	1.60E-01	1.17E+00	8.24E-01	-3.74E-01		
EW033_RS08930	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08935	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08940	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS08945	2.14E-01	4.15E-01	3.70E-01	3.41E-01	3.77E-01	-4.05E-01		
EW033_RS08950	2.14E-01	3.89E-01	3.79E-01	3.34E-01	3.77E-01	-4.04E-01		
EW033_RS08955	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08965	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS08975	3.21E-01	3.09E-02	3.83E-02	6.80E-01	3.20E-01	-5.51E-01		
EW033_RS08980	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS08985	3.21E-01	2.52E-01	2.51E-01	3.82E-01	3.29E-01	-4.55E-01		
EW033_RS08995	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
EW033_RS09000	1.07E-01	1.99E-01	1.12E-01	7.95E-01	4.92E-01	-4.17E-01		
EW033_RS09005	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS09010	2.50E-01	5.80E-01	6.12E-01	1.83E-01	3.59E-01	-3.78E-01		
EW033_RS09015	1.96E-01	2.00E-01	1.66E-01	5.40E-01	3.85E-01	-4.38E-01		
EW033_RS09020	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS09025	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS09030	2.14E-01	2.10E-01	1.91E-01	4.94E-01	3.74E-01	-4.38E-01		
EW033_RS09040	1.79E-01	2.48E-01	1.94E-01	5.27E-01	4.00E-01	-4.26E-01		
EW033_RS09045	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS09050	2.50E-01	2.55E-01	2.56E-01	4.08E-01	3.55E-01	-4.34E-01		
EW033_RS09055	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS09060	1.79E-01	2.65E-01	2.67E-01	4.51E-01	4.02E-01	-4.12E-01		
EW033_RS09065	2.14E-01	1.98E-01	1.90E-01	4.96E-01	3.73E-01	-4.38E-01		
EW033_RS09075	7.14E-02	6.13E-01	5.68E-01	3.46E-01	6.03E-01	-3.57E-01		
EW033_RS09080	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS09085	7.86E-01	7.88E-02	1.11E-01	6.01E-01	3.71E-01	-8.04E-01		
EW033_RS09090	2.50E-01	1.00E-01	8.77E-02	6.09E-01	3.50E-01	-4.84E-01		
EW033_RS09100	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS09105	3.57E-02	9.83E-01	9.66E-01	3.63E-02	8.39E-01	-3.33E-01		
EW033_RS09110	2.86E-01	6.94E-02	5.94E-02	6.42E-01	3.33E-01	-5.15E-01		
EW033_RS09115	7.14E-02	9.80E-01	9.76E-01	1.84E-02	6.05E-01	-3.33E-01		
EW033_RS09160	3.93E-01	4.52E-02	4.80E-02	6.22E-01	3.07E-01	-5.76E-01		
EW033_RS09165	7.50E-01	5.22E-02	8.10E-02	6.22E-01	3.50E-01	-7.98E-01		
EW033_RS09175	1.43E-01	4.78E-01	5.31E-01	2.80E-01	4.43E-01	-3.72E-01		
EW033_RS09180	3.39E-01	2.21E-01	2.56E-01	3.73E-01	3.25E-01	-4.58E-01		
EW033_RS09185	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS09190	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS09195	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS09200	5.00E-01	9.19E-03	9.19E-03	7.90E-01	2.92E-01	-7.27E-01		
EW033_RS09205	8.93E-02	9.58E-01	9.57E-01	2.95E-02	5.46E-01	-3.35E-01		
EW033_RS09210	3.57E-01	1.71E-01	1.61E-01	4.53E-01	3.19E-01	-4.94E-01		
EW033_RS09215	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS09220	3.57E-02	7.72E-01	8.38E-01	1.73E-01	8.39E-01	-3.38E-01		
EW033_RS09225	2.14E-01	9.04E-01	9.10E-01	4.30E-02	3.79E-01	-3.41E-01		
EW033_RS09230	7.14E-02	1.92E-01	4.11E-01	4.98E-01	6.01E-01	-3.67E-01		
EW033_RS09235	8.21E-01	1.63E-01	2.31E-01	4.86E-01	4.01E-01	-7.31E-01		
EW033_RS09240	5.71E-01	4.94E-01	4.90E-01	-2.18E-01	3.13E-01	-2.07E-01		
EW033_RS09250	4.29E-01	4.67E-02	5.09E-02	6.06E-01	3.04E-01	-5.92E-01		
EW033_RS09255	1.79E-01	1.97E-01	1.61E-01	5.68E-01	3.99E-01	-4.33E-01		
EW033_RS09275	1.07E-01	8.76E-01	8.82E-01	7.50E-02	5.03E-01	-3.40E-01		
